t,A0,C1,C2,scope,scenario,v_abs,v_el,v_distr
24.072707884242305,3.5039615836761366,1.7905569368033014,0.07723130025475156,ode_,multiple_15,,,
24.09789359043349,2.1173891510922647,1.9795340464074516,0.08154412832244114,ode_,multiple_15,,,
24.12613350109102,1.20369263995559,2.086989206457375,0.08675543552122537,ode_,multiple_15,,,
24.157093229681024,0.6480521710565383,2.132506691713656,0.09266887558210778,ode_,multiple_15,,,
24.190352294782052,0.3332249256312018,2.136164393240846,0.0990735038023054,ode_,multiple_15,,,
24.22557304501821,0.1647526293776876,2.1141380779949372,0.10579940386344679,ode_,multiple_15,,,
24.26242433237493,0.0788445906698728,2.077518771797303,0.11270837951260665,ode_,multiple_15,,,
24.300637497506685,0.03671895557455662,2.0331647159364996,0.11970011972653073,ode_,multiple_15,,,
24.339985197485806,0.016717161470393236,1.9850317613616855,0.12670096470177628,ode_,multiple_15,,,
24.380304957724615,0.007464487137776676,1.9352727996004195,0.13366158948425527,ode_,multiple_15,,,
24.421520446227028,0.00327390645127711,1.8849773596193313,0.14055517510292576,ode_,multiple_15,,,
24.46369466045534,0.0014086932124187683,1.8345728899892824,0.1473813820036482,ode_,multiple_15,,,
24.507134745023432,0.0005910021805978704,1.7839729021900612,0.15417753644160648,ode_,multiple_15,,,
24.552524534840778,0.0002384854068377905,1.732596281176715,0.16103110164948986,ode_,multiple_15,,,
24.601002707246543,9.048777739144239e-5,1.6794112179006941,0.16808001571213602,ode_,multiple_15,,,
24.654106884571025,3.13145151282166e-5,1.6231114429325688,0.17549095789072697,ode_,multiple_15,,,
24.713763565814293,9.519223454971008e-6,1.5622343943547328,0.18344312769320328,ode_,multiple_15,,,
24.782469239206183,2.426620254532362e-6,1.4951103088879154,0.19213233907054877,ode_,multiple_15,,,
24.863704126359316,4.918261607202968e-7,1.4196815792516158,0.2017888247483295,ode_,multiple_15,,,
24.96265075412727,7.851289674294895e-8,1.3332523679208217,0.21269782357397776,ode_,multiple_15,,,
